group,confidence,name,kind,type,class,tier,itemHash,currentSourceText
C. No collectible,Not ruled out (review),Mark Judgment,Armor,Titan Mark,Titan,5,155955679,
A. Non-source note,Likely NOT obtainable,Mark of Confrontation,Armor,Titan Mark,Titan,4,984002469,Source: Earned while leveling.
C. No collectible,Likely NOT obtainable,Mark of Confrontation,Armor,Titan Mark,Titan,4,598178607,
C. No collectible,Not ruled out (review),Mark of Confrontation,Armor,Titan Mark,Titan,4,2329963686,
C. No collectible,Not ruled out (review),Mark of Confrontation,Armor,Titan Mark,Titan,4,2541019576,
A. Non-source note,Likely obtainable (review),Mark of Inquisition,Armor,Titan Mark,Titan,4,2447973668,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Mark of Inquisition,Armor,Titan Mark,Titan,4,3483602905,
C. No collectible,Not ruled out (review),Mark of Inquisition,Armor,Titan Mark,Titan,4,4174470997,
C. No collectible,Not ruled out (review),Mark of Inquisition,Armor,Titan Mark,Titan,4,174910288,
C. No collectible,Not ruled out (review),Mark of the Colliders,Armor,Titan Mark,Titan,5,249698874,
C. No collectible,Not ruled out (review),Mark of the Colliders,Armor,Titan Mark,Titan,5,1700762223,
C. No collectible,Not ruled out (review),Mark of the Colliders,Armor,Titan Mark,Titan,5,1809381923,
A. Non-source note,Likely obtainable (review),Mark of the Fire,Armor,Titan Mark,Titan,3,1441321537,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Mark of the Fire,Armor,Titan Mark,Titan,3,3693917763,
A. Non-source note,Likely obtainable (review),Mark of the Golden Citadel,Armor,Titan Mark,Titan,3,3353816514,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Mark of the Golden Citadel,Armor,Titan Mark,Titan,3,1473385934,
A. Non-source note,Likely obtainable (review),Mark of the Longest Line,Armor,Titan Mark,Titan,3,617314000,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Mark of the Longest Line,Armor,Titan Mark,Titan,3,2626766308,
A. Non-source note,Likely obtainable (review),Mark of the Renegade,Armor,Titan Mark,Titan,2,1033095234,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Mark of the Renegade,Armor,Titan Mark,Titan,2,4200817316,
A. Non-source note,Likely obtainable (review),Mechanik 1.1,Armor,Gauntlets,Hunter,3,3208987202,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Mechanik 1.1,Armor,Leg Armor,Hunter,3,958165756,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Mechanik 1.1,Armor,Gauntlets,Hunter,3,844823562,
C. No collectible,Not ruled out (review),Mechanik 1.1,Armor,Leg Armor,Hunter,3,4179002916,
A. Non-source note,Likely obtainable (review),Mechanik 1.2,Armor,Helmet,Hunter,3,955082419,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Mechanik 1.2,Armor,Helmet,Hunter,3,3639035739,
A. Non-source note,Likely obtainable (review),Mechanik 2.1,Armor,Chest Armor,Hunter,3,4269283110,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Mechanik 2.1,Armor,Chest Armor,Hunter,3,3790903614,
A. Non-source note,Likely obtainable (review),Midnight Oil Gauntlets,Armor,Gauntlets,Titan,4,2479764339,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Midnight Oil Greaves,Armor,Leg Armor,Titan,4,2214718277,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Midnight Oil Helmet,Armor,Helmet,Titan,4,2474203178,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Midnight Oil Mark,Armor,Titan Mark,Titan,4,3691602896,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Midnight Oil Plate,Armor,Chest Armor,Titan,4,2229615005,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Minuet-12,Weapon,Hand Cannon,,3,3185293914,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Monody-44,Weapon,Fusion Rifle,,5,3201200906,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Mos Athanor IV,Weapon,Hand Cannon,,5,4118334987,Random Perks: This item cannot be reacquired from Collections.
C. No collectible,Not ruled out (review),Mos Athanor IV,Weapon,Hand Cannon,,5,1288422452,
A. Non-source note,Likely obtainable (review),Mos Ultima II,Weapon,Hand Cannon,,3,3185293912,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Motif-41,Weapon,Grenade Launcher,,5,1685533876,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Mythos Hack 4.1,Armor,Chest Armor,Hunter,4,503306433,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Mythos Hack 4.1,Armor,Gauntlets,Hunter,4,944303735,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Mythos Hack 4.1,Armor,Helmet,Hunter,4,1930343846,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Mythos Hack 4.1,Armor,Leg Armor,Hunter,4,2752838425,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Mythos Hack 4.1,Armor,Chest Armor,Hunter,4,3264653916,
C. No collectible,Not ruled out (review),Mythos Hack 4.1,Armor,Chest Armor,Hunter,4,747210772,
C. No collectible,Not ruled out (review),Mythos Hack 4.1,Armor,Chest Armor,Hunter,4,1658512403,
C. No collectible,Not ruled out (review),Mythos Hack 4.1,Armor,Gauntlets,Hunter,4,423789,
C. No collectible,Not ruled out (review),Mythos Hack 4.1,Armor,Gauntlets,Hunter,4,1045948748,
C. No collectible,Not ruled out (review),Mythos Hack 4.1,Armor,Gauntlets,Hunter,4,1365739620,
C. No collectible,Not ruled out (review),Mythos Hack 4.1,Armor,Helmet,Hunter,4,2159062493,
C. No collectible,Not ruled out (review),Mythos Hack 4.1,Armor,Helmet,Hunter,4,2689896341,
C. No collectible,Not ruled out (review),Mythos Hack 4.1,Armor,Helmet,Hunter,4,1169595348,
C. No collectible,Not ruled out (review),Mythos Hack 4.1,Armor,Leg Armor,Hunter,4,2871824910,
C. No collectible,Not ruled out (review),Mythos Hack 4.1,Armor,Leg Armor,Hunter,4,246765359,
C. No collectible,Not ruled out (review),Mythos Hack 4.1,Armor,Leg Armor,Hunter,4,1691784182,
A. Non-source note,Likely obtainable (review),Nox Calyx II,Weapon,Fusion Rifle,,3,1393021135,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Nox Cordis II,Weapon,Fusion Rifle,,4,3441197112,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Nox Cordis II,Weapon,Fusion Rifle,,4,3662200189,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Nox Lumen II,Weapon,Fusion Rifle,,4,3441197113,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Nox Lumen II,Weapon,Fusion Rifle,,4,3662200188,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Nox Reve II,Weapon,Fusion Rifle,,3,1393021134,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Nox Sidereal IV,Weapon,Fusion Rifle,,5,2875763009,Random Perks: This item cannot be reacquired from Collections.
C. No collectible,Not ruled out (review),Nox Sidereal IV,Weapon,Fusion Rifle,,5,74733286,
A. Non-source note,Likely obtainable (review),One Earth,Weapon,Hand Cannon,,3,3185293913,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Ouster Engine,Weapon,Grenade Launcher,,5,2223968549,Random Perks: This item cannot be reacquired from Collections.
C. No collectible,Not ruled out (review),Ouster Engine,Weapon,Grenade Launcher,,5,3718184802,
A. Non-source note,Likely obtainable (review),Para Torus I,Weapon,Grenade Launcher,,3,3246523831,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Pariah,Weapon,Auto Rifle,,2,2209451511,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Parsec TSu,Weapon,Fusion Rifle,,4,3441197115,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Parsec TSu,Weapon,Fusion Rifle,,4,3662200190,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Peculiar Charm,Weapon,Submachine Gun,,5,3620277039,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Philippis-B,Weapon,Submachine Gun,,4,3383958218,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Philippis-B,Weapon,Submachine Gun,,4,1281822857,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Picayune Mk. 33,Weapon,Hand Cannon,,3,3185293915,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Plemusa-B,Weapon,Grenade Launcher,,4,3493948735,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Plemusa-B,Weapon,Grenade Launcher,,4,1120843238,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Presto-48,Weapon,Hand Cannon,,4,1595336071,
A. Non-source note,Likely obtainable (review),Primal Siege Type 1,Armor,Chest Armor,Titan,4,730116261,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Primal Siege Type 1,Armor,Gauntlets,Titan,4,1442064747,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Primal Siege Type 1,Armor,Helmet,Titan,4,2102523394,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Primal Siege Type 1,Armor,Leg Armor,Titan,4,2533822333,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Primal Siege Type 1,Armor,Chest Armor,Titan,4,3163241201,
C. No collectible,Not ruled out (review),Primal Siege Type 1,Armor,Chest Armor,Titan,4,463563656,
C. No collectible,Not ruled out (review),Primal Siege Type 1,Armor,Chest Armor,Titan,4,1912568536,
C. No collectible,Not ruled out (review),Primal Siege Type 1,Armor,Gauntlets,Titan,4,4062934448,
C. No collectible,Not ruled out (review),Primal Siege Type 1,Armor,Gauntlets,Titan,4,392489920,
C. No collectible,Not ruled out (review),Primal Siege Type 1,Armor,Gauntlets,Titan,4,1665016007,
C. No collectible,Not ruled out (review),Primal Siege Type 1,Armor,Helmet,Titan,4,2983961673,
C. No collectible,Not ruled out (review),Primal Siege Type 1,Armor,Helmet,Titan,4,4166795065,
C. No collectible,Not ruled out (review),Primal Siege Type 1,Armor,Helmet,Titan,4,461025654,
C. No collectible,Not ruled out (review),Primal Siege Type 1,Armor,Leg Armor,Titan,4,3382396922,
C. No collectible,Not ruled out (review),Primal Siege Type 1,Armor,Leg Armor,Titan,4,126602378,
C. No collectible,Not ruled out (review),Primal Siege Type 1,Armor,Leg Armor,Titan,4,417821705,
A. Non-source note,Likely obtainable (review),Prophet Snow,Armor,Chest Armor,Warlock,4,2906174660,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Prophet Snow,Armor,Gauntlets,Warlock,4,2894481116,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Prophet Snow,Armor,Helmet,Warlock,4,1775781229,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Prophet Snow,Armor,Leg Armor,Warlock,4,1855729254,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Prophet Snow,Armor,Chest Armor,Warlock,4,341343759,
C. No collectible,Not ruled out (review),Prophet Snow,Armor,Chest Armor,Warlock,4,387708030,
C. No collectible,Not ruled out (review),Prophet Snow,Armor,Chest Armor,Warlock,4,1300106409,
C. No collectible,Not ruled out (review),Prophet Snow,Armor,Gauntlets,Warlock,4,2190967049,
C. No collectible,Not ruled out (review),Prophet Snow,Armor,Gauntlets,Warlock,4,2959986506,
C. No collectible,Not ruled out (review),Prophet Snow,Armor,Gauntlets,Warlock,4,881194063,
C. No collectible,Not ruled out (review),Prophet Snow,Armor,Helmet,Warlock,4,2151724216,
C. No collectible,Not ruled out (review),Prophet Snow,Armor,Helmet,Warlock,4,1500704923,
C. No collectible,Not ruled out (review),Prophet Snow,Armor,Helmet,Warlock,4,1611221278,
C. No collectible,Not ruled out (review),Prophet Snow,Armor,Leg Armor,Warlock,4,2441435355,
C. No collectible,Not ruled out (review),Prophet Snow,Armor,Leg Armor,Warlock,4,1455694321,
C. No collectible,Not ruled out (review),Prophet Snow,Armor,Leg Armor,Warlock,4,1616317796,
A. Non-source note,Likely obtainable (review),Protostar CSu,Weapon,Submachine Gun,,4,3383958219,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Protostar CSu,Weapon,Submachine Gun,,4,1281822856,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Psi Aeterna IV,Weapon,Pulse Rifle,,5,3556730800,Random Perks: This item cannot be reacquired from Collections.
C. No collectible,Not ruled out (review),Psi Aeterna IV,Weapon,Pulse Rifle,,5,135971347,
A. Non-source note,Likely obtainable (review),Psi Cirrus II,Weapon,Pulse Rifle,,4,1669771782,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Psi Cirrus II,Weapon,Pulse Rifle,,4,1678957657,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Psi Ferox II,Weapon,Pulse Rifle,,3,2213848863,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Psi Termina II,Weapon,Pulse Rifle,,3,2213848860,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Qua Vinctus IV,Weapon,Machine Gun,,5,337893613,Random Perks: This item cannot be reacquired from Collections.
C. No collectible,Not ruled out (review),Qua Vinctus IV,Weapon,Machine Gun,,5,4176551594,
C. No collectible,Not ruled out (review),Rapid Growth,Weapon,Sniper Rifle,,5,3448712083,
C. No collectible,Not ruled out (review),Rapid Growth,Weapon,Sniper Rifle,,5,3856342856,
A. Non-source note,Likely obtainable (review),Raven Shard,Armor,Chest Armor,Warlock,3,330458218,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Raven Shard,Armor,Gauntlets,Warlock,3,104646086,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Raven Shard,Armor,Helmet,Warlock,3,170778879,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Raven Shard,Armor,Leg Armor,Warlock,3,88132800,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Raven Shard,Armor,Chest Armor,Warlock,3,4133705268,
C. No collectible,Not ruled out (review),Raven Shard,Armor,Gauntlets,Warlock,3,610837228,
C. No collectible,Not ruled out (review),Raven Shard,Armor,Helmet,Warlock,3,2148305277,
C. No collectible,Not ruled out (review),Raven Shard,Armor,Leg Armor,Warlock,3,1256569366,
C. No collectible,Not ruled out (review),Rebuke AX-GL,Weapon,Auto Rifle,,4,2903592986,
A. Non-source note,Likely obtainable (review),Recital-17,Weapon,Sidearm,,3,1310413524,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Refrain-23,Weapon,Auto Rifle,,4,2351747817,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Refrain-23,Weapon,Auto Rifle,,4,2860172148,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Refugee Boots,Armor,Leg Armor,Hunter,2,24387532,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Refugee Boots,Armor,Leg Armor,Titan,2,2086640064,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Refugee Boots,Armor,Leg Armor,Warlock,2,3065200837,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Refugee Boots,Armor,Leg Armor,Hunter,2,539726822,
C. No collectible,Not ruled out (review),Refugee Boots,Armor,Leg Armor,Titan,2,871442456,
C. No collectible,Not ruled out (review),Refugee Boots,Armor,Leg Armor,Warlock,2,1581838479,
A. Non-source note,Likely obtainable (review),Refugee Cloak,Armor,Hunter Cloak,Hunter,2,615077791,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Refugee Cloak,Armor,Hunter Cloak,Hunter,2,4195519897,
A. Non-source note,Likely obtainable (review),Refugee Gloves,Armor,Gauntlets,Hunter,2,3493659058,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Refugee Gloves,Armor,Gauntlets,Titan,2,2103153350,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Refugee Gloves,Armor,Gauntlets,Warlock,2,3330246899,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Refugee Gloves,Armor,Gauntlets,Hunter,2,1578478684,
C. No collectible,Not ruled out (review),Refugee Gloves,Armor,Gauntlets,Titan,2,452060094,
C. No collectible,Not ruled out (review),Refugee Gloves,Armor,Gauntlets,Warlock,2,911039437,
A. Non-source note,Likely obtainable (review),Refugee Helm,Armor,Helmet,Titan,2,2169286143,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Refugee Helm,Armor,Helmet,Warlock,2,3324685738,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Refugee Helm,Armor,Helmet,Titan,2,1378545975,
C. No collectible,Not ruled out (review),Refugee Helm,Armor,Helmet,Warlock,2,2504771764,
A. Non-source note,Likely obtainable (review),Refugee Mark,Armor,Titan Mark,Titan,2,3206818939,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Refugee Mark,Armor,Titan Mark,Titan,2,696808195,
A. Non-source note,Likely obtainable (review),Refugee Mask,Armor,Helmet,Hunter,2,2822154467,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Refugee Mask,Armor,Helmet,Hunter,2,459778797,
A. Non-source note,Likely obtainable (review),Refugee Plate,Armor,Chest Armor,Titan,2,2570001258,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Refugee Plate,Armor,Chest Armor,Titan,2,59990642,
A. Non-source note,Likely obtainable (review),Refugee Vest,Armor,Chest Armor,Hunter,2,860993270,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Refugee Vest,Armor,Chest Armor,Warlock,2,3524186653,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Refugee Vest,Armor,Chest Armor,Hunter,2,2985655620,
C. No collectible,Not ruled out (review),Refugee Vest,Armor,Chest Armor,Warlock,2,137713267,
A. Non-source note,Likely obtainable (review),Refurbished A499,Weapon,Sniper Rifle,,5,3661051060,Random Perks: This item cannot be reacquired from Collections.
C. No collectible,Not ruled out (review),Refurbished A499,Weapon,Sniper Rifle,,5,593808239,
A. Non-source note,Likely obtainable (review),Reginar-B,Weapon,Rocket Launcher,,4,4221925399,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Reginar-B,Weapon,Rocket Launcher,,4,1877183764,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Renegade Gauntlets,Armor,Gauntlets,Titan,2,1944863285,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Renegade Gauntlets,Armor,Gauntlets,Titan,2,3967705743,
A. Non-source note,Likely obtainable (review),Renegade Greaves,Armor,Leg Armor,Titan,2,3520985367,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Renegade Greaves,Armor,Leg Armor,Titan,2,288815409,
A. Non-source note,Likely obtainable (review),Renegade Helm,Armor,Helmet,Titan,2,590089148,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Renegade Helm,Armor,Helmet,Titan,2,868799838,
A. Non-source note,Likely obtainable (review),Renegade Hood,Armor,Hunter Cloak,Hunter,2,746458358,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Renegade Hood,Armor,Hunter Cloak,Hunter,2,2644553610,
A. Non-source note,Likely obtainable (review),Renegade Plate,Armor,Chest Armor,Titan,2,2676379051,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Renegade Plate,Armor,Chest Armor,Titan,2,2886651369,
A. Non-source note,Likely obtainable (review),Requiem SI2,Weapon,Sidearm,,4,3809805229,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Requiem SI2,Weapon,Sidearm,,4,711899774,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Resilient People,Weapon,Grenade Launcher,,3,3246523829,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Rest for the Wicked,Weapon,Sword,,4,2891976013,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Rest for the Wicked,Weapon,Sword,,4,1447973650,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Rite of Refusal,Armor,Warlock Bond,Warlock,3,1176024513,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Rite of Refusal,Armor,Warlock Bond,Warlock,3,3121104079,
A. Non-source note,Likely obtainable (review),Roderic-C,Weapon,Sidearm,,4,3809805230,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Roderic-C,Weapon,Sidearm,,4,711899773,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Ros Lysis II,Weapon,Auto Rifle,,4,2351747819,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Ros Lysis II,Weapon,Auto Rifle,,4,2860172150,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),RPC Valiant,Armor,Chest Armor,Titan,4,1133807721,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),RPC Valiant,Armor,Gauntlets,Titan,4,1442860559,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),RPC Valiant,Armor,Helmet,Titan,4,2638921950,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),RPC Valiant,Armor,Leg Armor,Titan,4,2058937521,Source: Earned while leveling.
C. No collectible,Not ruled out (review),RPC Valiant,Armor,Chest Armor,Titan,4,2739875972,
C. No collectible,Not ruled out (review),RPC Valiant,Armor,Chest Armor,Titan,4,3007889693,
C. No collectible,Not ruled out (review),RPC Valiant,Armor,Chest Armor,Titan,4,1484009400,
C. No collectible,Not ruled out (review),RPC Valiant,Armor,Gauntlets,Titan,4,2466525328,
C. No collectible,Not ruled out (review),RPC Valiant,Armor,Gauntlets,Titan,4,3456147612,
C. No collectible,Not ruled out (review),RPC Valiant,Armor,Gauntlets,Titan,4,739196403,
C. No collectible,Not ruled out (review),RPC Valiant,Armor,Helmet,Titan,4,2803481901,
C. No collectible,Not ruled out (review),RPC Valiant,Armor,Helmet,Titan,4,2994740249,
C. No collectible,Not ruled out (review),RPC Valiant,Armor,Helmet,Titan,4,733635242,
C. No collectible,Not ruled out (review),RPC Valiant,Armor,Leg Armor,Titan,4,2459075622,
C. No collectible,Not ruled out (review),RPC Valiant,Armor,Leg Armor,Titan,4,2825160682,
C. No collectible,Not ruled out (review),RPC Valiant,Armor,Leg Armor,Titan,4,474150341,
A. Non-source note,Likely obtainable (review),Sand Wasp-3au,Weapon,Auto Rifle,,4,2351747818,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Sand Wasp-3au,Weapon,Auto Rifle,,4,2860172151,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Sarpedon-D,Weapon,Hand Cannon,,5,1242785638,Random Perks: This item cannot be reacquired from Collections.
C. No collectible,Not ruled out (review),Sarpedon-D,Weapon,Hand Cannon,,5,3318545829,
A. Non-source note,Likely obtainable (review),Scavenger Cloak,Armor,Hunter Cloak,Hunter,3,185766709,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Scavenger Cloak,Armor,Hunter Cloak,Hunter,3,3556023425,
A. Non-source note,Likely obtainable (review),Scavenger Suit,Armor,Chest Armor,Hunter,3,1790272280,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Scavenger Suit,Armor,Gauntlets,Hunter,3,2742817008,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Scavenger Suit,Armor,Helmet,Hunter,3,3229455225,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Scavenger Suit,Armor,Leg Armor,Hunter,3,3059875530,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Scavenger Suit,Armor,Chest Armor,Hunter,3,857264972,
C. No collectible,Not ruled out (review),Scavenger Suit,Armor,Gauntlets,Hunter,3,4091127092,
C. No collectible,Not ruled out (review),Scavenger Suit,Armor,Helmet,Hunter,3,3310450277,
C. No collectible,Not ruled out (review),Scavenger Suit,Armor,Leg Armor,Hunter,3,83898430,
C. No collectible,Not ruled out (review),Scorched Hunter Cloak,Armor,Hunter Cloak,Hunter,2,587276683,
C. No collectible,Not ruled out (review),Scorched Hunter Cloak,Armor,Hunter Cloak,Hunter,2,971580893,
C. No collectible,Not ruled out (review),Scorched Hunter Grips,Armor,Gauntlets,Hunter,2,3782032118,
C. No collectible,Not ruled out (review),Scorched Hunter Grips,Armor,Gauntlets,Hunter,2,389344040,
C. No collectible,Not ruled out (review),Scorched Hunter Mask,Armor,Helmet,Hunter,2,1202339439,
C. No collectible,Not ruled out (review),Scorched Hunter Mask,Armor,Helmet,Hunter,2,1731215697,
C. No collectible,Not ruled out (review),Scorched Hunter Strides,Armor,Leg Armor,Hunter,2,699343952,
C. No collectible,Not ruled out (review),Scorched Hunter Strides,Armor,Leg Armor,Hunter,2,1024752258,
C. No collectible,Not ruled out (review),Scorched Hunter Vest,Armor,Chest Armor,Hunter,2,1363280826,
C. No collectible,Not ruled out (review),Scorched Hunter Vest,Armor,Chest Armor,Hunter,2,2044322464,
A. Non-source note,Likely obtainable (review),Sea Scorpion-1sr,Weapon,Scout Rifle,,3,3361694402,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Shadow Specter,Armor,Chest Armor,Hunter,4,482198005,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Shadow Specter,Armor,Gauntlets,Hunter,4,1059980443,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Shadow Specter,Armor,Helmet,Hunter,4,593627314,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Shadow Specter,Armor,Hunter Cloak,Hunter,4,3857537480,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Shadow Specter,Armor,Leg Armor,Hunter,4,4229548557,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Shadow Specter,Armor,Chest Armor,Hunter,4,3035240099,
C. No collectible,Not ruled out (review),Shadow Specter,Armor,Chest Armor,Hunter,4,3309120116,
C. No collectible,Not ruled out (review),Shadow Specter,Armor,Chest Armor,Hunter,4,3585730968,
C. No collectible,Not ruled out (review),Shadow Specter,Armor,Gauntlets,Hunter,4,3160437036,
C. No collectible,Not ruled out (review),Shadow Specter,Armor,Gauntlets,Hunter,4,124410141,
C. No collectible,Not ruled out (review),Shadow Specter,Armor,Gauntlets,Hunter,4,418611312,
C. No collectible,Not ruled out (review),Shadow Specter,Armor,Helmet,Hunter,4,177215556,
C. No collectible,Not ruled out (review),Shadow Specter,Armor,Helmet,Hunter,4,402937789,
C. No collectible,Not ruled out (review),Shadow Specter,Armor,Helmet,Hunter,4,905249529,
C. No collectible,Not ruled out (review),Shadow Specter,Armor,Hunter Cloak,Hunter,4,2317046938,
C. No collectible,Not ruled out (review),Shadow Specter,Armor,Hunter Cloak,Hunter,4,4052950089,
C. No collectible,Not ruled out (review),Shadow Specter,Armor,Hunter Cloak,Hunter,4,1981225397,
C. No collectible,Not ruled out (review),Shadow Specter,Armor,Leg Armor,Hunter,4,4230626646,
C. No collectible,Not ruled out (review),Shadow Specter,Armor,Leg Armor,Hunter,4,735669834,
C. No collectible,Not ruled out (review),Shadow Specter,Armor,Leg Armor,Hunter,4,2065578431,
C. No collectible,Not ruled out (review),Shattered Warlock Bond,Armor,Warlock Bond,Warlock,2,3670132590,
C. No collectible,Not ruled out (review),Shattered Warlock Bond,Armor,Warlock Bond,Warlock,2,572122304,
A. Non-source note,Likely obtainable (review),Sly Cloak,Armor,Hunter Cloak,Hunter,3,3245422950,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Sly Cloak,Armor,Hunter Cloak,Hunter,3,2574857320,
A. Non-source note,Likely obtainable (review),Smoke Jumper Bond,Armor,Warlock Bond,Warlock,5,1619647653,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Smoke Jumper Boots,Armor,Leg Armor,Titan,5,2397541401,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Smoke Jumper Boots,Armor,Leg Armor,Warlock,5,63899322,Random Perks: This item cannot be reacquired from Collections.
